dm_time,send_date,send_month,send_time,text,user_id
0 days 00:13:55.719000000,2021-01-10,2021-01,2021-01-10 15:59:59,支持你 这个时代需要我们这样的学生气职场人拯救,e88d4651
0 days 00:13:16.280000000,2021-01-10,2021-01,2021-01-10 15:59:45,招不到不存在，但是评价肯定没了,bd03da3f
0 days 00:15:13.195000000,2021-01-10,2021-01,2021-01-10 15:59:39,加油,57884289
0 days 00:06:16.238000000,2021-01-10,2021-01,2021-01-10 15:59:27,上一年班，挣两年钱，减三年阳寿。这是我对pdd的多年评价,87963e04
0 days 00:00:17.367000000,2021-01-10,2021-01,2021-01-10 15:59:15,支持,4f48b83
0 days 00:08:35.386000000,2021-01-10,2021-01,2021-01-10 15:59:12,这个不会被河蟹吧,6dd59989
0 days 00:12:30.646000000,2021-01-10,2021-01,2021-01-10 15:58:59,hr的话能信？,bd03da3f
0 days 00:05:01.979000000,2021-01-10,2021-01,2021-01-10 15:58:42,在阿里上班 阿里真做不到这样....,3ce35bb2
0 days 00:15:15.033000000,2021-01-10,2021-01,2021-01-10 15:58:37,加油,81d1b96f
0 days 00:09:00.319000000,2021-01-10,2021-01,2021-01-10 15:58:26,这就是劣币驱逐良币吧,42e33492
0 days 00:06:39.955000000,2021-01-10,2021-01,2021-01-10 15:58:22,提前保护,94ee44d7
0 days 00:11:05.603000000,2021-01-10,2021-01,2021-01-10 15:58:13,支持,5ea54426
0 days 00:14:33.183000000,2021-01-10,2021-01,2021-01-10 15:58:06,直接三连 顶你去首页,88012387
0 days 00:10:58.103000000,2021-01-10,2021-01,2021-01-10 15:58:05,支持,5ea54426
0 days 00:10:31.201000000,2021-01-10,2021-01,2021-01-10 15:58:04,牛牛,f571e70f
0 days 00:03:11.080000000,2021-01-10,2021-01,2021-01-10 15:57:49,你披露了以后，感觉以后会被公司列入黑名单，没有公司敢招你了,6127869a
0 days 00:01:29.871000000,2021-01-10,2021-01,2021-01-10 15:57:49,加油啊,70facf6f
0 days 00:05:09.631000000,2021-01-10,2021-01,2021-01-10 15:57:30,阿里 华为都是一样的..,f6d5d26f
0 days 00:00:59.680000000,2021-01-10,2021-01,2021-01-10 15:57:26,保护,1d921976
0 days 00:04:02.863000000,2021-01-10,2021-01,2021-01-10 15:57:15,为你三连,83ffd5d7
0 days 00:10:22.814000000,2021-01-10,2021-01,2021-01-10 15:57:11,加油,2766d6cf
0 days 00:10:27.681000000,2021-01-10,2021-01,2021-01-10 15:57:10,做的好,4649dfd4
0 days 00:08:47.864000000,2021-01-10,2021-01,2021-01-10 15:57:03,说实话，我真的不怕这些威胁，光脚不怕穿鞋的,906c6e0d
0 days 00:01:45.999000000,2021-01-10,2021-01,2021-01-10 15:57:02,至少380个小时，按30天算，每天12个小时。，，，。,4f672e0
0 days 00:03:13.262000000,2021-01-10,2021-01,2021-01-10 15:56:57,pdd现在比我们狠多了 坐标菊花厂,90e605f8
0 days 00:00:15.221000000,2021-01-10,2021-01,2021-01-10 15:56:55,保护,a239c316
0 days 00:09:38.600000000,2021-01-10,2021-01,2021-01-10 15:56:46,脉脉不要脸,5ea54426
0 days 00:09:01.239000000,2021-01-10,2021-01,2021-01-10 15:56:37,正义必胜,ca276eb6
0 days 00:00:38.894000000,2021-01-10,2021-01,2021-01-10 15:56:36,已三连，顶你上去,1d1ddb0b
0 days 00:00:06.395000000,2021-01-10,2021-01,2021-01-10 15:56:31,支持up主,bc6ceee4
0 days 00:02:36.273000000,2021-01-10,2021-01,2021-01-10 15:56:20,拼多多必死[微笑]​,90e605f8
